ICAO,Name,Country,Latitude,Longitude
KGMU,Greenville Downtown Airport,United States,34.84790039,-82.34999847
KMKT,Mankato Regional Airport,United States,44.22159958,-93.91870117
TUPA,Captain Auguste George Airport,British Virgin Islands,18.72719955,-64.32969666
KTOI,Troy Municipal Airport at N Kenneth Campbell Field,United States,31.860399,-86.012101
KSCD,Merkel Field Sylacauga Municipal Airport,United States,33.17179871,-86.30549622
KEDN,Enterprise Municipal Airport,United States,31.29969978,-85.89990234
KRYN,Ryan Field,United States,32.14220047,-111.1750031
AYEF,Efogi Airport,Papua New Guinea,-9.153805556,147.6598056
AYKQ,Kagi Airport,Papua New Guinea,-9.135916667,147.6694444
AYNC,Nadunumu Airport,Papua New Guinea,-9.143555556,147.68425
AYBD,Bodinumu Airport,Papua New Guinea,-9.107777778,147.6667222
KALX,Thomas C Russell Field,United States,32.91469955,-85.96299744
YPKT,Port Keats Airport,Australia,-14.25,129.529007
YGPT,Garden Point Airport,Australia,-11.40250015,130.4219971
EDHS,Stade Airport,Germany,53.56111145,9.499167442
KMMK,Meriden Markham Municipal Airport,United States,41.50870132,-72.82949829
YFLS,Flinders Island Airport,Australia,-33.730989,134.501
LSZO,Luzern-Beromunster Airport,Switzerland,47.18999863,8.204719543
LFTN,La Grand'combe Airport,France,44.24440002,4.012219906
OTHH,Hamad International Airport,Qatar,25.273056,51.608056
CYNR,Fort Mackay / Horizon Airport,Canada,57.38169861,-111.7009964
CEW9,Canmore Municipal Heliport,Canada,51.07780075,-115.3379974
UIAE,Krasnokamensk Airport,Russia,50.03310776,118.061142
KRJD,Ridgely Airpark,United States,38.9701004,-75.86630249
KUWL,New Castle Henry Co. Municipal Airport,United States,39.87590027,-85.32649994
KTQK,Scott City Municipal Airport,United States,38.47430038,-100.8850021
KHDE,Brewster Field,United States,40.452099,-99.336502
KPTT,Pratt Regional Airport,United States,37.70159912,-98.74690247
UAON,Yubileyniy Airfield,Kazakhstan,46.05500031,63.25
KAHQ,Wahoo Municipal Airport,United States,41.24129868,-96.59400177
KLXN,Jim Kelly Field,United States,40.79100037,-99.77729797
K19S,Sublette Municipal Airport,United States,37.49140167,-100.8300018
KCBF,Council Bluffs Municipal Airport,United States,41.25920105,-95.76059723
KOKK,Kokomo Municipal Airport,United States,40.52819824,-86.05899811
K2K7,Neodesha Municipal Airport,United States,37.4353981,-95.64610291
AK59,King Ranch Airport,United States,61.79560089,-148.3549957
KEHA,Elkhart Morton County Airport,United States,37.000702,-101.879997
KFTG,Front Range Airport,United States,39.78530121,-104.5429993
KGBG,Galesburg Municipal Airport,United States,40.93799973,-90.43109894
KGUY,Guymon Municipal Airport,United States,36.68510056,-101.5080032
KMEJ,Meade Municipal Airport,United States,37.27690125,-100.3560028
MO00,Turkey Mountain Estates Airport,United States,36.59170151,-93.66690063
KULS,Ulysses Airport,United States,37.60400009,-101.3740005
CO00,Flagler Aerial Spraying Inc Airport,United States,39.27999878,-103.0670013
KIDP,Independence Municipal Airport,United States,37.15840149,-95.77839661
K3AU,Augusta Municipal Airport,United States,37.67160034,-97.07790375
KLQR,Larned Pawnee County Airport,United States,38.20859909,-99.08599854
KLZZ,Lampasas Airport,United States,31.10619926,-98.19589996
KBYY,Bay City Municipal Airport,United States,28.97330093,-95.8635025
KPRX,Cox Field,United States,33.63660049,-95.45079803
KCFV,Coffeyville Municipal Airport,United States,37.09400177,-95.57189941
24SC,The Farm Airport,United States,33.93579865,-81.42970276
KGXY,Greeley–Weld County Airport,United States,40.43740082,-104.6330032
KM01,General Dewitt Spain Airport,United States,35.20069885,-90.05400085
UUOR,Oryol Yuzhny Airport,United States,52.93470001,36.00220108
KFET,Fremont Municipal Airport,United States,41.44910049,-96.52020264
KLGD,La Grande/Union County Airport,United States,45.29019928,-118.0070038
EPSY,Olsztyn-Mazury Airport,Poland,53.481899,20.9377
KMPO,Pocono Mountains Municipal Airport,United States,41.137503,-75.378897
KUKT,Quakertown Airport,United States,40.43519974,-75.38189697
CYBA,Banff Airport,Canada,51.20734047,-115.5418611
EKNB,Nordborg Flyveplads,Denmark,55.07485,9.753379
